filename,width,height,class,xmin,ymin,xmax,ymax
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,356,492,370,511
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,478,341,497,361
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,507,491,523,512
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,568,307,583,330
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,409,557,424,575
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,412,442,428,460
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,214,523,228,544
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,349,228,367,248
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,232,103,248,124
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,53,135,69,153
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,579,244,594,263
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,16,241,33,263
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,246,50,261,70
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,407,400,422,419
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,307,93,323,116
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,285,70,299,92
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,143,579,157,600
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,46,601,60,622
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,594,353,610,372
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,282,338,299,359
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,115,540,130,561
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,270,21,288,40
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,103,554,118,572
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,510,421,524,441
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,532,186,547,206
spermJoin_mp4-1126_jpg.rf.e5937feaa8b04e127ac3d3d365db0b99.jpg,640,640,Sperms,464,513,479,542
spermJoin_mp4-126_jpg.rf.e5ae16d5309bb1e49f4c4743dd2d5b97.jpg,640,640,Sperms,402,257,420,281
spermJoin_mp4-113_jpg.rf.e62c99507820e11c68005a212591c655.jpg,640,640,Sperms,310,312,328,335
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,330,155,346,179
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,390,533,406,552
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,553,444,567,464
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,458,314,473,334
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,16,242,33,261
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,213,523,228,543
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,504,104,522,126
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,512,418,525,439
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,571,313,587,338
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,67,28,85,49
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,246,49,261,70
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,291,56,307,80
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,105,551,122,572
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,143,578,159,600
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,64,159,83,179
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,481,475,494,495
spermJoin_mp4-1059_jpg.rf.e6adaaf7f7dbbe06054eef7e41f91814.jpg,640,640,Sperms,579,252,597,268
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,415,198,431,221
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,36,244,51,265
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,36,421,55,443
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,384,338,401,357
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,290,241,306,260
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,360,451,376,471
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,12,303,31,327
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,106,28,121,47
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,5,80,21,101
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,170,237,189,263
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,606,481,624,506
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,353,483,374,508
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,496,609,516,635
spermJoin_mp4-1047_jpg.rf.e6b25a8042830e0c43c25e31171b01b5.jpg,640,640,Sperms,603,46,626,72
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,73,263,90,286
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,403,200,420,223
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,89,291,108,317
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,484,33,498,55
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,568,407,581,435
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,614,326,632,356
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,627,277,640,302
spermJoin_mp4-43_jpg.rf.e6d4d9268b0166d9f6ab171905751cce.jpg,640,640,Sperms,379,600,408,640
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,51,108,68,127
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,377,19,389,43
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,512,55,529,85
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,543,87,564,113
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,521,149,542,172
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,419,199,440,227
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,569,302,587,323
spermJoin_mp4-1199_jpg.rf.e6f3946bad07f8595c81312b1b6f11d6.jpg,640,640,Sperms,471,498,485,518
